1	k_0	1
2	k_0	2
3	k_0	3
4	k_0	4
5	k_0	5
6	k_0	6
7	k_0	7
8	k_0	8
9	k_0	9
10	k_0	10
11	k_6	11
12	k_7	12
13	k_7	13
14	k_0	14
15	k_0	15
16	k_4	16
17	k_5	17
18	k_6	18
19	k_6	19
20	k_7	20
21	k_0	21
22	k_0	22
23	k_0	23
24	k_5	24
25	k_6	25
26	k_0	26
27	k_0	27
28	k_5	28
29	k_6	29
30	k_0	30
31	k_0	31
32	k_0	32
33	k_6	33
34	k_6	34
35	k_0	35
36	k_0	36
37	k_0	37
38	k_6	38
39	k_6	39
40	k_0	40
41	k_9	41
42	k_9	42
43	k_8	43
44	k_8	44
45	k_9	45
46	k_0	46
47	k_0	47
48	k_6	48
49	k_8	49
50	k_9	50
51	k_7	51
52	k_8	52
53	k_9	53
54	k_9	54
55	k_6	55
56	k_7	56
57	k_7	57
58	k_9	58
59	k_9	59
60	k_0	60
61	k_6	61
62	k_8	62
63	k_8	63
64	k_8	64
65	k_0	65
66	k_7	66
67	k_8	67
68	k_8	68
69	k_8	69
70	k_7	70
71	k_0	71
72	k_0	72
73	k_6	73
74	k_0	74
75	k_7	75
76	k_0	76
77	k_0	77
78	k_7	78
79	k_0	79
80	k_0	80
81	k_8	81
82	k_8	82
83	k_9	83
84	k_0	84
85	k_0	85
86	k_0	86
87	k_0	87
88	k_9	88
89	k_0	89
90	k_8	90
91	k_9	91
92	k_0	92
93	k_8	93
94	k_8	94
95	k_9	95
96	k_8	96
97	k_8	97
98	k_8	98
99	k_0	99
100	k_8	100
101	k_8	101
102	k_0	102
103	k_7	103
104	k_7	104
105	k_7	105
106	k_0	106
107	k_7	107
108	k_9	108
109	k_6	109
110	k_9	110
111	k_9	111
112	k_9	112
113	k_9	113
114	k_8	114
115	k_8	115
116	k_9	116
117	k_9	117
118	k_0	118
119	k_0	119
120	k_0	120
121	k_9	121
122	k_9	122
123	k_8	123
124	k_0	124
125	k_8	125
126	k_8	126
127	k_9	127
128	k_9	128
129	k_0	129
130	k_0	130
131	k_0	131
132	k_0	132
133	k_8	133
134	k_8	134
135	k_8	135
136	k_9	136
137	k_9	137
138	k_9	138
139	k_9	139
140	k_0	140
141	k_0	141
142	k_0	142
143	k_0	143
144	k_8	144
145	k_8	145
146	k_8	146
147	k_0	147
148	k_0	148
149	k_0	149
150	k_8	150
151	k_8	151
152	k_8	152
153	k_9	153
154	k_9	154
155	k_9	155
156	k_0	156
157	k_0	157
158	k_0	158
159	k_0	159
160	k_0	160
161	k_8	161
162	k_8	162
163	k_8	163
164	k_9	164
165	k_8	165
166	k_8	166
167	k_8	167
168	k_0	168
169	k_0	169
170	k_8	170
171	k_9	171
172	k_9	172
173	k_0	173
174	k_0	174
175	k_8	175
176	k_9	176
177	k_7	177
178	k_9	178
179	k_0	179
180	k_0	180
181	k_0	181
182	k_9	182
183	k_8	183
184	k_8	184
185	k_7	185
186	k_9	186
187	k_9	187
188	k_7	188
189	k_7	189
190	k_0	190
191	k_0	191
192	k_0	192
193	k_0	193
194	k_8	194
195	k_7	195
196	k_5	196
197	k_8	197
198	k_7	198
199	k_7	199
200	k_0	200
201	k_0	201
202	k_0	202
203	k_8	203
204	k_8	204
205	k_9	205
206	k_9	206
207	k_9	207
208	k_8	208
209	k_6	209
210	k_4	210
211	k_4	211
212	k_7	212
213	k_7	213
214	k_8	214
215	k_9	215
216	k_9	216
217	k_5	217
218	k_6	218
219	k_7	219
220	k_7	220
221	k_7	221
222	k_8	222
223	k_9	223
224	k_6	224
225	k_7	225
226	k_7	226
227	k_7	227
228	k_8	228
229	k_8	229
230	k_9	230
231	k_9	231
232	k_9	232
233	k_8	233
234	k_8	234
235	k_8	235
236	k_9	236
237	k_8	237
238	k_7	238
239	k_6	239
240	k_8	240
241	k_8	241
242	k_9	242
243	k_9	243
244	k_8	244
245	k_9	245
246	k_8	246
247	k_9	247
248	k_9	248
249	k_8	249
250	k_7	250
251	k_6	251
252	k_6	252
253	k_8	253
254	k_8	254
255	k_8	255
256	k_7	256
257	k_8	257
258	k_8	258
259	k_9	259
260	k_9	260
261	k_9	261
262	k_7	262
263	k_8	263
264	k_7	264
265	k_7	265
266	k_7	266
267	k_7	267
268	k_7	268
269	k_6	269
270	k_6	270
271	k_8	271
272	k_8	272
273	k_8	273
274	k_8	274
275	k_9	275
276	k_9	276
277	k_8	277
278	k_7	278
279	k_8	279
280	k_7	280
281	k_6	281
282	k_6	282
283	k_6	283
284	k_7	284
285	k_6	285
286	k_0	286
287	k_8	287
288	k_8	288
289	k_8	289
290	k_8	290
291	k_7	291
292	k_8	292
293	k_8	293
294	k_8	294
295	k_9	295
296	k_8	296
297	k_9	297
298	k_8	298
299	k_5	299
300	k_6	300
301	k_7	301
302	k_6	302
303	k_6	303
304	k_5	304
305	k_5	305
306	k_5	306
307	k_6	307
308	k_0	308
309	k_8	309
310	k_8	310
311	k_8	311
312	k_7	312
313	k_6	313
314	k_8	314
315	k_8	315
316	k_6	316
317	k_3	317
318	k_8	318
319	k_7	319
320	k_7	320
321	k_6	321
322	k_3	322
323	k_2	323
324	k_4	324
325	k_5	325
326	k_4	326
327	k_7	327
328	k_7	328
329	k_7	329
330	k_7	330
331	k_9	331
332	k_0	332
333	k_8	333
334	k_7	334
335	k_6	335
336	k_5	336
337	k_7	337
338	k_8	338
339	k_7	339
340	k_7	340
341	k_7	341
342	k_7	342
343	k_3	343
344	k_2	344
345	k_2	345
346	k_2	346
347	k_0	347
348	k_7	348
349	k_6	349
350	k_7	350
